time,key
2021-02-15T09:49:07.759,"{'I','L'}"
2021-02-15T09:49:07.763,"{'I','L','T'}"
2021-02-15T09:49:07.767,"{'I','L','T'}"
2021-02-15T09:49:07.771,"{'I','L','T'}"
2021-02-15T09:49:07.775,"{'I','L','T'}"
2021-02-15T09:49:07.779,"{'I','L','T'}"
2021-02-15T09:49:07.783,"{'I','L','T'}"
2021-02-15T09:49:07.787,"{'I','L','T'}"
2021-02-15T09:49:07.791,"{'I','L','T'}"
2021-02-15T09:49:07.795,"{'I','L','T'}"
2021-02-15T09:49:07.799,"{'I','L','T'}"
2021-02-15T09:49:07.803,"{'I','L','T'}"
2021-02-15T09:49:07.807,"{'I','L','T'}"
2021-02-15T09:49:07.811,"{'I','T'}"
2021-02-15T09:49:07.815,"{'I','T'}"
2021-02-15T09:49:07.819,"{'I','T'}"
2021-02-15T09:49:07.823,"{'I','T'}"
2021-02-15T09:49:07.827,"{'I','T'}"
2021-02-15T09:49:07.831,"{'I','T'}"
2021-02-15T09:49:07.836,"{'I','T'}"
2021-02-15T09:49:07.840,"{'I','T'}"
2021-02-15T09:49:07.844,"{'I','T'}"
2021-02-15T09:49:07.848,"{'I','T'}"
2021-02-15T09:49:07.852,"{'I','T'}"
2021-02-15T09:49:07.856,"{'I','T'}"
2021-02-15T09:49:07.860,"{'I','T'}"
2021-02-15T09:49:07.864,"{'I','T'}"
2021-02-15T09:49:07.868,"{'I','T'}"
2021-02-15T09:49:07.873,"{'I','T'}"
2021-02-15T09:49:07.877,"{'I','T'}"
2021-02-15T09:49:07.881,"{'I','T'}"
2021-02-15T09:49:07.885,"{'I','T'}"
2021-02-15T09:49:07.889,"{'I','T'}"
2021-02-15T09:49:07.893,"{'T'}"
2021-02-15T09:49:07.897,"{'T'}"
2021-02-15T09:49:07.901,"{'T'}"
2021-02-15T09:49:07.905,"{'T'}"
2021-02-15T09:49:07.910,"{'T'}"
2021-02-15T09:49:07.914,"{'T'}"
2021-02-15T09:49:07.918,"{'T'}"
2021-02-15T09:49:07.922,"{'T'}"
2021-02-15T09:49:07.926,"{'T'}"
2021-02-15T09:49:07.931,"{'T'}"
2021-02-15T09:49:07.935,"{'T'}"
2021-02-15T09:49:07.939,"{'T'}"
2021-02-15T09:49:07.943,"{'T'}"
2021-02-15T09:49:07.947,"{'T'}"
2021-02-15T09:49:07.951,"{'T'}"
2021-02-15T09:49:07.955,"{'T'}"
2021-02-15T09:49:07.960,"{'T'}"
2021-02-15T09:49:07.964,"{'T'}"
2021-02-15T09:49:07.968,"{'T'}"
2021-02-15T09:49:07.972,"{'T'}"
2021-02-15T09:49:07.976,"{'T'}"
2021-02-15T09:49:07.982,"{'T'}"
2021-02-15T09:49:07.986,"{'T'}"
2021-02-15T09:49:07.990,"{'T'}"
2021-02-15T09:49:07.994,"{'T'}"
2021-02-15T09:49:07.998,"{'T'}"
2021-02-15T09:49:08.002,"{}"
2021-02-15T09:49:08.007,"{}"
2021-02-15T09:49:08.011,"{}"
2021-02-15T09:49:08.015,"{}"
2021-02-15T09:49:08.019,"{}"
2021-02-15T09:49:08.024,"{}"
2021-02-15T09:49:08.028,"{}"
2021-02-15T09:49:08.032,"{}"
2021-02-15T09:49:08.036,"{}"
2021-02-15T09:49:08.040,"{}"
2021-02-15T09:49:08.045,"{}"
2021-02-15T09:49:08.049,"{}"
2021-02-15T09:49:08.054,"{}"
2021-02-15T09:49:08.059,"{}"
2021-02-15T09:49:08.063,"{}"
2021-02-15T09:49:08.067,"{}"
2021-02-15T09:49:08.071,"{}"
2021-02-15T09:49:08.075,"{}"
2021-02-15T09:49:08.079,"{}"
2021-02-15T09:49:08.083,"{}"
2021-02-15T09:49:08.087,"{}"
2021-02-15T09:49:08.091,"{}"
2021-02-15T09:49:08.095,"{}"
2021-02-15T09:49:08.099,"{}"
2021-02-15T09:49:08.103,"{}"
2021-02-15T09:49:08.107,"{}"
2021-02-15T09:49:08.112,"{}"
2021-02-15T09:49:08.117,"{}"
2021-02-15T09:49:08.121,"{}"
2021-02-15T09:49:08.126,"{}"
2021-02-15T09:49:08.130,"{}"
2021-02-15T09:49:08.135,"{}"
2021-02-15T09:49:08.139,"{}"
2021-02-15T09:49:08.143,"{}"
2021-02-15T09:49:08.147,"{}"
2021-02-15T09:49:08.151,"{}"
2021-02-15T09:49:08.155,"{}"
2021-02-15T09:49:08.159,"{}"
2021-02-15T09:49:08.163,"{}"
2021-02-15T09:49:08.167,"{}"
2021-02-15T09:49:08.171,"{}"
2021-02-15T09:49:08.175,"{}"
2021-02-15T09:49:08.179,"{}"
2021-02-15T09:49:08.183,"{}"
2021-02-15T09:49:08.187,"{}"
2021-02-15T09:49:08.191,"{}"
2021-02-15T09:49:08.195,"{}"
2021-02-15T09:49:08.200,"{}"
2021-02-15T09:49:08.205,"{}"
2021-02-15T09:49:08.209,"{}"
2021-02-15T09:49:08.213,"{}"
2021-02-15T09:49:08.218,"{}"
2021-02-15T09:49:08.223,"{}"
2021-02-15T09:49:08.229,"{}"
2021-02-15T09:49:08.231,"{}"
2021-02-15T09:49:08.235,"{}"
2021-02-15T09:49:08.240,"{}"
2021-02-15T09:49:08.245,"{}"
2021-02-15T09:49:08.249,"{}"
2021-02-15T09:49:08.253,"{}"
2021-02-15T09:49:08.259,"{'S'}"
2021-02-15T09:49:08.262,"{'S'}"
2021-02-15T09:49:08.267,"{'S'}"
2021-02-15T09:49:08.272,"{'S'}"
2021-02-15T09:49:08.277,"{'S'}"
2021-02-15T09:49:08.281,"{'S'}"
2021-02-15T09:49:08.285,"{'S'}"
2021-02-15T09:49:08.289,"{'S'}"
2021-02-15T09:49:08.294,"{'S'}"
2021-02-15T09:49:08.300,"{'S'}"
2021-02-15T09:49:08.304,"{'S'}"
2021-02-15T09:49:08.308,"{'S'}"
2021-02-15T09:49:08.312,"{'S'}"
2021-02-15T09:49:08.316,"{'S'}"
2021-02-15T09:49:08.320,"{'S'}"
2021-02-15T09:49:08.324,"{'S'}"
2021-02-15T09:49:08.328,"{'S'}"
2021-02-15T09:49:08.332,"{'S'}"
2021-02-15T09:49:08.337,"{'S'}"
2021-02-15T09:49:08.341,"{}"
2021-02-15T09:49:08.345,"{}"
2021-02-15T09:49:08.349,"{}"
2021-02-15T09:49:08.353,"{}"
2021-02-15T09:49:08.357,"{}"
2021-02-15T09:49:08.361,"{}"
2021-02-15T09:49:08.365,"{}"
2021-02-15T09:49:08.369,"{}"
2021-02-15T09:49:08.374,"{}"
2021-02-15T09:49:08.378,"{}"
2021-02-15T09:49:08.383,"{}"
2021-02-15T09:49:08.387,"{}"
2021-02-15T09:49:08.391,"{}"
2021-02-15T09:49:08.395,"{}"
2021-02-15T09:49:08.399,"{}"
2021-02-15T09:49:08.403,"{}"
2021-02-15T09:49:08.407,"{}"
2021-02-15T09:49:08.411,"{}"
2021-02-15T09:49:08.415,"{}"
2021-02-15T09:49:08.419,"{}"
2021-02-15T09:49:08.423,"{}"
2021-02-15T09:49:08.427,"{}"
2021-02-15T09:49:08.431,"{}"
2021-02-15T09:49:08.438,"{}"
2021-02-15T09:49:08.443,"{}"
2021-02-15T09:49:08.460,"{}"
2021-02-15T09:49:08.465,"{}"
2021-02-15T09:49:08.471,"{}"
2021-02-15T09:49:08.476,"{}"
2021-02-15T09:49:08.481,"{}"
2021-02-15T09:49:08.485,"{}"
2021-02-15T09:49:08.489,"{}"
2021-02-15T09:49:08.493,"{}"
2021-02-15T09:49:08.497,"{}"
2021-02-15T09:49:08.501,"{}"
2021-02-15T09:49:08.505,"{}"
2021-02-15T09:49:08.509,"{}"
2021-02-15T09:49:08.514,"{}"
2021-02-15T09:49:08.518,"{}"
2021-02-15T09:49:08.522,"{}"
2021-02-15T09:49:08.526,"{}"
